name,address,lat,lon
222,"R. Francisco Deslandes, 222 ,Belo Horizonte - MG, 30310-530",-19.9456523,-43.9295759
Alexandre’s Bar,"R. David Alves do Vale, 68  , Santa Rosa, Belo Horizonte - MG, 31255-630",-19.8634011,-43.9441692
Andrade’s Beer,"R. Dona Geni, 32 , Maria Helena, Belo Horizonte - MG, 31680-100",-19.8013309,-43.9965515
Armazém Santa Amélia,"Rua da Sinfonia, 253 , Santa Amélia, Belo Horizonte - MG, 31560-420",,
Avalanche Bar e Restaurante,"R. Doutor Álvaro Camargos, 1113 , São Belo Horizonte - MG, 31515-142",-19.8258777,-43.9608039
Azougue Fogo e Bar,"Rua do Ouro, 835  , Serra, Belo Horizonte - MG, 30220-000",-19.9335106,-43.9234402
Baiúca,"R. Piauí, 1884 , Funcionários, Belo Horizonte - MG, 30150-321",-19.9358597,-43.9279865
Bar Bambú,"R. Divisa Nova, 670 , Belo Horizonte - MG, 30550-330",-19.9440127,-43.9840632
Bar Bendita Baderna,"R. Silva Fortes, 47  , União, Belo Horizonte - MG, 31160-320",-19.8811789,-43.9272578
Bar da Cintia,"R. Pastor Rui Franco, 257 , São João Batista (Venda Nova), Belo Horizonte - MG, 31520-230",-19.8168676,-43.9694756
Bar da Fia,"R. dos Astecas, 2722 , Santa Mônica, Belo Horizonte - MG, 31530-300",-19.8299231,-43.9791637
Bar da Gisa,"Rua Maria Ferreira da Silva, 367 , Belo Horizonte - MG, 31920-350",-19.8762275,-43.9158899
Bar da Lu,"R. Geralda Marinho, 41 , São João Batista (Venda Nova), Belo Horizonte - MG, 31515-420",-19.8268831,-43.9645853
Bar da Praça,"Rua Oeste, 517 , Calafate, Belo Horizonte - MG, 30411-312",-19.9230609,-43.969218
",Bar da Silvânia","R. Soares Nogueira, 801 , Camargos, Belo Horizonte - MG, 30520-330",-19.9426967,-44.0181413
Bar do Bartolomeu,"R. Arthur Luchesi, 356 , Santa Helena (Barreiro), Belo Horizonte - MG, 30642-140",-19.9894517,-44.0100935
Bar do Bem,"Rua Vicentina Coutinho Camargos, 100 , Álvaro Camargos, Belo Horizonte - MG, 30860-130",-19.9153621,-44.0062588
Bar do Dedinho,"Avenida Guarapari, 872 , Belo Horizonte - MG, 31555-000",-19.8341323,-43.9740179
Bar do João (São João Batista),"R. Geralda Marinho, 117 , Belo Horizonte - MG, 31515-420",-19.8268831,-43.9645853
Bar do Kim,"Rua Júlio de Castilho, 1071 , Palmeiras, Belo Horizonte - MG, 30570-080",,
Bar do Momô,"Avenida Coronel José Benjamim, 777 , Belo Horizonte - MG, 30720-430",-19.9186732,-43.9703781
Bar do Nelson,"R. Vicente Risola, 1000 , Santa Inês, Belo Horizonte - MG, 31080-160",-19.8916887,-43.9083866
Bar do Peixinho,"Avenida Bernardo de Vasconcelos, 1824 , Belo Horizonte - MG, 31150-000",-19.8757884,-43.9293954
Bar do Primo,"Avenida Amazonas, 4649 , Nova Suíça, Belo Horizonte - MG, 30421-169",-19.9295312,-43.9774293
Bar do Regis,"R. Gávea, 422 , Jardim América, Belo Horizonte - MG, 30421-340",-19.9388489,-43.9752421
Bar do Tião,"Avenida Doutor Cristiano Guimarães, 2570 , Planalto, Belo Horizonte - MG, 31741-161",-19.8347093,-43.9556986
Bar dos Meninos,"Rua Lindolfo Deodoro, 503 - A , Salgado Filho, Belo Horizonte - MG, 30550-006",-19.9396503,-43.9789774
Bar Du Du,"R. Vinte e Oito de Setembro, 229 , Esplanada, Belo Horizonte - MG, 30280-230",,
Bar Du Magrelo,"Rua São Felipe, 21  , Belo Horizonte - MG,  31030-290",-19.9064654,-43.9177325
Bar e Restaurante Bom Sabor,"R. Java, 386  , Nova Suíça, Belo Horizonte - MG, 30421-228",-19.9333627,-43.9746709
Bar e Restaurante do Branco,"Rua Pitangui, 3197 , Belo Horizonte - MG, 31030-211",-19.9025123,-43.9419455
Bar Estabelecimento,"R. Monte Alegre, 160 , Serra, Belo Horizonte - MG, 30240-230",-19.9363019,-43.9239093
Bar Junto Juntinho,"Rua Cura D’Ars, 542 , Prado, Belo Horizonte - MG, 30411-200",-19.923052,-43.9631418
Bar Mania Mineira,"Rua Paracatu, 1099 , Santo Agostinho, Belo Horizonte - MG, 30180-091",-19.9303247,-43.954101
Bar Pompéu,"R. São Miguel, 779 , Itapoã, Belo Horizonte - MG, 31710-750",-19.8410387,-43.9652554
Bar Stella,"Av. Saramenha, 1599 , Guarani, Belo Horizonte - MG, 31840-220",-19.8455141,-43.9154855
Bar Temático Sta. Teresa,"R. Pirite, 187  , Santa Teresa, Belo Horizonte - MG, 31010-420",,
